name,year,year_end_score
The Animals,1964.0,1023891.0
Elvis Presley,1964.0,14781126.0
Frank Fontaine,1964.0,13536.0
Al Hirt,1964.0,3839165.0
John Fitzgerald Kennedy,1964.0,13869.0
Siw Malmkvist,1964.0,845.0
Skeeter Davis,1964.0,8904.0
John Pizzarelli,1964.0,10280.0
Duane Eddy,1964.0,1755.0
The Rolling Stones,1964.0,3417750.0
Frank Ifield,1964.0,303.0
Brazilian Tropical Orchestra,1964.0,640.0
Diane Renay,1964.0,63588.0
Dick & Dee Dee,1964.0,3861.0
The Bermudas,1964.0,3290.0
Umberto Marcato,1964.0,845.0
Frank Sinatra,1964.0,11785680.0
Dick Hyman,1964.0,11760.0
The Shirelles,1964.0,11440.0
Miriam Makeba,1964.0,25764.0
Candy and Kisses,1964.0,2150.0
Jimmy Smith,1964.0,2649645.0
Otis Redding,1964.0,340214.0
Janet Seidel,1964.0,349894.0
Liza Minnelli,1964.0,35190.0
Santo & Johnny,1964.0,1799.0
Tony Bennett,1964.0,10147140.0
Jack Jones,1964.0,2931660.0
Marvin Gaye,1964.0,2920945.0
Otis Blackwell,1964.0,30.0
Brenda Holloway,1964.0,42020.0
The Waikikis,1964.0,1377.0
Bill Black's Combo,1964.0,18704.0
David Kemper,1964.0,3.0
The Boogie Kings,1964.0,2977.0
Nancy Wilson,1964.0,10715016.0
ProSource Karaoke,1964.0,267270.0
Ian & Sylvia,1964.0,67770.0
Iamcu Students,1964.0,492.0
London Philharmonic Orchestra,1964.0,419895.0
Ronnie Dove,1964.0,170026.0
Stan Getz,1964.0,29520.0
Willie Mitchell,1964.0,29427.0
Marvin Gaye and Mary Wells,1964.0,64620.0
Duke Ellington,1964.0,9658.0
Ameritz Countdown Karaoke,1964.0,5958.0
Major Lance,1964.0,215700.0
The Cookies,1964.0,2592.0
P.J. Proby,1964.0,1824.0
Robert Goulet,1964.0,599058.0
Jimmy McGriff,1964.0,5348.0
Willie Nelson,1964.0,58829.0
Sarah Vaughan,1964.0,19227.0
The Blendells,1964.0,2080.0
Riz Ortolani,1964.0,578750.0
Rita Pavone,1964.0,37168.0
Chris Crosby,1964.0,2114.0
George Gershwin,1964.0,1350.0
The Original Broadway Cast Of Golden Boy,1964.0,3568.0
Baby Washington,1964.0,84.0
Bill Cosby,1964.0,230040.0
Ronny & The Daytonas,1964.0,66276.0
Brenda Lee,1964.0,395120.0
The New Kingston Trio,1964.0,103684.0
The New Christy Minstrels,1964.0,1779580.0
Tino Reyes Trio,1964.0,8160.0
Stevie Wonder,1964.0,731336.0
Bob Dylan,1964.0,8517156.0
Sandy Nelson,1964.0,8449.0
Queen Latifah,1964.0,69768.0
Georges Bizet,1964.0,1968.0
Sandie Shaw,1964.0,3680.0
Smokey Robinson,1964.0,37410.0
Jackie Ross,1964.0,10738.0
Laura Zanin,1964.0,845.0
João Gilberto,1964.0,12420.0
Vikki Carr,1964.0,61944.0
Jan & Dean,1964.0,985296.0
"Peter, Paul and Mary",1964.0,14843754.0
Manfred Mann,1964.0,68818.0
The Radiants,1964.0,105.0
Dimitri Tiomkin,1964.0,1712.0
Ferrante,1964.0,1735.0
Jackie Wilson,1964.0,2408.0
Sammy Davis Jr.,1964.0,158418.0
The Secrets,1964.0,370.0
Original Broadway Cast of Jennie,1964.0,2380.0
Annette Funicello,1964.0,698.0
Cooltone Karaoke,1964.0,5741242.0
